Trait,S1_Mask_Suffix,S1_Placeholder,S1_Trait_Suffix,S2_Mask_Suffix,S2_Placeholder,S2_Trait_Suffix,S3_Mask_Suffix,S3_Placeholder,S3_Trait_Suffix,S4_Placeholder,S4_Trait_Suffix,S4_Mask_Suffix,S5_Placeholder,S5_Trait_Suffix,S5_Mask_Suffix
পাশবিক,রা,,।,রা,অপেক্ষাকৃত,প্রকৃতির হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,অনেক ক্ষেত্রে উগ্র মানুষেরা,আচরণের মাধ্যমে অন্যের মনে কষ্ট দেয়। সাধারণত,দের কাছ থেকে এ আচরণ বেশি দেখা যায়।,"বরং এটাকে একটা পাশবিক সভ্যতা বলাই শ্রেয়। পাশবিক সভ্যতা এই জন্য যে এই সভ্যতার সভ্য মানুষগুলো পৃথিবীর বুকে কল্পিত সীমানা এঁকে, কাটাতারের বেড়া দিয়ে মানুষগুলোকে বন্দী করে কোথাও আটকে দিচ্ছে আবার কোথাও মাইলের পর মাইল ভূ-খণ্ড জনমানবহীন করে রেখে সেখানকার উৎপাদিত শস্য ও অন্যান্য প্রাকৃতিক সম্পদ গুটিকয়েক মানুষ রাজার হালে ভোগ করছে। পাশবিক সভ্যতা এই জন্য যে এরা বছরে কোটি কোটি টন উদ্বৃত্ত খাদ্য সমুদ্রে ফেলে দিচ্ছে খেতে না পেরে, এরা টনকে টন টম্যাটো নষ্ট করে টম্যাটো উৎসব করে।",আচরণ বেশি করে ,রা ।
প্রতারণামূলক,রা,,।,রা,অপেক্ষাকৃত,আচরণ করে।,দের ,মধ্যে অপেক্ষাকৃত বেশি ।,কাজ করার প্রবণতা,আমি গতকাল কিছু মানুষের,আচরণ দেখে কষ্ট পেয়েছি। সাধারণত,দের কাছ থেকে এ আচরণ বেশি দেখা যায়।,সেসব বিজ্ঞাপনের সাথে উইকিপিডিয়ার কোনো সম্পর্ক নাই। প্রতারণামূলক সেসব বিজ্ঞাপনের ফাঁদে না পড়ার পরামর্শ দিয়েছে প্রতিষ্ঠানটি।,আচরণ বেশি করে ,রা ।
প্রতিহিংসাপরায়ণ,রা,,।,রা,বেশ,হয়ে থাকে।,দের ,মধ্যে অপেক্ষাকৃত বেশি ।,হওয়ার প্রবণতা,সমাজের উন্নতির জন্য,মানুষ এক বিশেষ বাঁধা। অধিকাংশ ক্ষেত্রে,রা এ মনোভাব লালন করে।,কিন্তু চীনের একটি অঞ্চলে ঘটেছে তার বিপরীরত এক ঘটনা। প্রতিহিংসাপরায়ণ বাবা তার বাচ্চাকে একটি খাঁচায় তালা দিয়ে রেখেছিলেন। শুধু তাতেই ক্লান্ত থাকেননি তিনি। তুলছেন ছবিও।,স্বভাবের হয় ,রা ।
বিকৃত,রা,,।,রা,,আচরণ করে।,দের ,মধ্যে অপেক্ষাকৃত বেশি দেখা যায়।,মানসিকতা ,,মানসিকতা অসামাজিক কাজকর্মের দিকে ধাবিত করে। অধিকাংশ ক্ষেত্রে,রা এ আচরণ দেখায়।,শুক্রবার বিকেলে সে রুপাকে আবার উত্ত্যক্ত করে। বিকৃত ছবি ফেইসবুকে ছড়িয়ে দেওয়ার হুমকি দেয়। রুপা বিষয়টি তার মাকে জানায়।,স্বভাবের হয় ,রা ।
বিতর্কিত,রা,,।,রা,অপেক্ষাকৃত,প্রকৃতির হয়।,রা,কথা বলতে পছন্দ করে ।,বিষয়ে,,আচরণ অনেক ক্ষেত্রে ক্ষতি করে। অধিকাংশ ক্ষেত্রে,রা এ আচরণ দেখায়।,দুই প্রতিবেশি রাষ্ট্র আজারবাইজান ও আর্মেনিয়ার মধ্যে সংঘাত ছড়িয়ে পড়েছে। বিতর্কিত অঞ্চল নাগর্নো-কারাবাখ এ রোববার দুই পক্ষের মধ্যে লড়াই শুরু হয়েছে।,স্বভাবের হয় ,রা ।
বিদ্বেষপূর্ণ,রা,,।,রা,স্বভাবতই,আচরণ করে।,দের ,মধ্যে অপেক্ষাকৃত বেশি দেখা যায়।,মানসিকতা ,,মনোভাব নিজ জীবনে দুঃখ ডেকে আনে। অধিকাংশ ক্ষেত্রেই,রা এ মনোভাব লালন করে।,"এই মহামারিও বলছে, মানুষের সমাগম থেকে দূরে থাকো মানুষ। বিদ্বেষপূর্ণ বা হিংসাত্মক ভাইরাস যাই বলা হয়ে থাকুক না কেন!",আচরণ বেশি করে ,রা ।
বিরক্তিকর,রা,,।,রা,অপেক্ষাকৃত,আচরণ করে।,দের ,মধ্যে অপেক্ষাকৃত বেশি ।,কাজ করার প্রবণতা,তার আচরণ আমার অত্যন্ত,লাগে।,হয়েছে দেখেই সে এরকম আচরণ করে।,প্রেমে পড়েছি একটা গোল্লা বলের আর তার পিছনে ছুটে চলা গুটিকয়েক নীল-সাদা বসনের মানুষের। বিরক্তিকর লম্বা খাঁজুরে আলাপ করব।,আচরণ বেশি করে ,রা ।
বিশৃঙ্খল,রা,,।,রা,,প্রকৃতির হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,প্রকৃতির মানুষ সমাজের ক্ষতির কারণ হয়। অনেক ক্ষেত্রেই,রা এভাবে সমাজের ক্ষতি করে।,করোনা ভাইরাস মহামারির মধ্যেও নির্বাচন অনুষ্ঠিত হওয়া নিয়ে উঠেছে সমালোচনার ঝড়। বিশৃঙ্খল পরিস্থিতি তৈরি হওয়ার আশঙ্কা করছিলেন সমালোচকরা।,স্বভাবের হয় ,রা ।
বিশ্বাসঘাতক,রা,,।,রা,অপেক্ষাকৃত,স্বভাবের হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,প্রকৃতির মানুষ দিন দিন বেড়ে চলেছে।,রা এ মনোভাব অধিক লালন করে।,শুধু হুমায়ুন বললে ভুল বোঝার আশঙ্কা আছে। বিশ্বাসঘাতক মিরজাফর বাংলার সিংহাসন দখল করে নেওয়ার পর ইংরেজরা তার অনেক ক্ষমতাই কেড়ে নেয়।,স্বভাবের হয় ,রা ।
ব্যঙ্গাত্মক,রা,,।,রা,অপেক্ষাকৃত,প্রকৃতির হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,কাজকর্ম আমার একদম পছন্দ নয়। সাধারণত,দের কাছ থেকে এ আচরণ বেশি দেখা যায়।,"লক্ষাধিক লোক বুধবার রাতে এভাবে রাজপথে হাজির ছিলেন। ব্যঙ্গাত্মক পত্রিকা শার্লি এব্দো-তে হামলার পর থেকে টুইটারে এ সংক্রান্ত বিভিন্ন তথ্য, কার্টুন, ছবি প্রকাশ হচ্ছে।",আচরণ বেশি করে ,রা ।
ভীতু,রা,,।,রা,কিছুটা,প্রকৃতির হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,প্রকৃতির মানুষের দ্বারা সমাজের উন্নতি আশা করা যায় না।,রা অত্যন্ত ভীতু হয়।,"উঠোনের রৌদ্রে তিনি ঠায় দাঁড়াইয়া রহিলেন। ভীতু ছাগল ছানার ন্যায় আমরাও। কোলাহল, গণ্ডগোল, চিৎকার, চেঁচামেচি ইত্যাদি লইয়া যাহাদের প্রতি পল কাটে হঠাৎ অন্যথা হইলে বিস্ময়ের উদ্রেক হয়।",প্রকৃতির হয় ,রা ।
মূর্খ,রা,,।,রা,অপেক্ষাকৃত,স্বভাবের হয়।,দের ,মধ্যে বেশি ।,হওয়ার হার,আমাদের দেশের প্রেক্ষাপটে,স্বভাবের মানুষ অনেক বেশি। এ স্বভাবের,দের জন্যই সমাজ আজ ধ্বংসের পথে।,১৯৯৯ এর বিশ্বকাপ এ আপনার পূর্ব পুরুষরা কিভাবে বাঘের থাবায় শেষ হয়ে ছিল তাই দেখে নিয়েন। মূর্খ মানুষের বলদের মত কথা ।,প্রকৃতির হয় ,রা ।
রক্ষণশীল,রা,,।,রা,কিছুটা,প্রকৃতির হয়।,দের ,মধ্যে বেশি । ,মনোভাব,আমাদের দেশের প্রেক্ষাপটে,প্রকৃতির মানুষ অনেক বেশি। তার উপর,দের মধ্যে এ স্বভাব বেশি দেখা যায়।,অল্প বয়সী মেয়ে। রক্ষণশীল স্বামীর পরিচয় ভালোভাবেই দিলাম। রূপা তখন তেমন আপত্তি করে নি বটে।,প্রকৃতির হয় ,রা ।
রাগান্বিত,রা,,।,রা,অধিক,স্বভাবের হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,মানুষের,মনোভাব আমার একদম অপছন্দ। সাধারণত,দের এ মনোভাব এর কারণে তারা সমাজে বেশ পিছিয়ে।,"কারো রাগ যখন মাত্রা ছাড়িয়ে যায় তখন সেটা ক্ষতির কারণ হয়ে দাঁড়ায়। রাগান্বিত মানুষ বেসামাল হয়ে যায়, তখন অন্যের ওপর জুলুম করে। রাগের কারণে মনের মধ্যে প্রতিশোধের আগুন জ্বলে ওঠে, তখন খুনখারাবি পর্যন্ত হয়ে যায়, ঘর-সংসার ভেঙে যায়।",আচরণ বেশি করে ,রা ।
লোভী,রা,,।,রা,বেশ,স্বভাবের হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,প্রকৃতির মানুষ সমাজের উন্নতির বদলে নিজে অর্থ আত্মসাৎ এর চিন্তায় কাজ করে। এ প্রকৃতির,দের কারণে দেশের আর্থিক অবনতি চরমে পৌঁছেছে।,কারণ আওয়ামী লীগ নেতৃত্ব ছাত্রলীগকে দিনে দিনে প্রশ্রয় দিয়ে অনেকটাই লাগাম ছাড়া করে ফেলেছেন। সন্ত্রাসী বানিয়েছেন। লোভী করে তুলেছেন।,প্রকৃতির হয় ,রা ।
সংকীর্ণ,রা,,।,রা,অপেক্ষাকৃত,প্রকৃতির হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,আমাদের দেশের প্রেক্ষাপটে,প্রকৃতির মানুষ অনেক বেশি। তার উপর,দের মধ্যে এ স্বভাব বেশি দেখা যায়।,"রবীন্দ্রনাথ ঠাকুর প্রান্তিক মানুষের সংস্পর্শে এসেছেন কম, তবু পদ্মাপারে জীবনের যেটুকু সময় কাটিয়েছেন, তার মধ্য দিয়েই সাধারণ মানুষের জীবন সম্পর্কে অভিজ্ঞতা লাভ করেছেন। সংকীর্ণ কোনো রাজনীতির ছায়াতলে না থেকেও রাজনীতিসচেতন ছিলেন তিনি।",প্রকৃতির হয় ,রা ।
সন্দেহপ্রবণ,রা,,।,রা,বেশ,স্বভাবের হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,মানুষের,মনোভাব আমার একদম অপছন্দ। সাধারণত,দের এ মনোভাব এর কারণে তারা অন্যকে বিশ্বাস করতে দ্বিধা করে।,সন্দেহপ্রবণ লোকেরা সোজাসুজি কথায় সাধারণত একটু ঘাবড়ে যায়। কারণ এরা সারা জীবনেও সোজাসুজি কথা বলে না।,প্রকৃতির হয় ,রা ।
সুবিধাবাদী,রা,,।,রা,অপেক্ষাকৃত,প্রকৃতির হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,আমাদের দেশের প্রেক্ষাপটে,প্রকৃতির মানুষ অনেক বেশি। তার উপর,দের মধ্যে এ স্বভাব বেশি দেখা যায় বলে তারা অন্যের কোন কাজে আসে না।,"খোঁজ নিয়ে দেখা গেছে, দেশের বাজারে পেঁয়াজের দাম বাড়া শুরু হয় গত কোরবানির ঈদের আগে থেকে। সুবিধাবাদী ব্যবসায়ীদের এই সিন্ডিকেটের কারণে কোরবানির ঈদের সময়েও কোনও কারণ ছাড়াই পেঁয়াজের দাম বেড়েছিল।",আচরণ বেশি করে ,রা ।
অস্থির,রা,,।,রা,বেশ,স্বভাবের হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,জীবনযাপন করলে শরীর ও মনে প্রভাব পরে। আমাদের দেশের,রা বেশ অস্থির প্রকৃতির হওয়ায় তারা ঠাণ্ডা মাথায় চিন্তা করতে পারে না।,হঠাত্ করেই রানের জন্য ছটফটানি বেড়েছিল সাকিব আল হাসানের। অস্থির হয়ে উঠেছিলেন তিনি। ফলাফলও পেলেন হাতেনাতেই।,প্রকৃতির হয় ,রা ।
স্বার্থপর,রা,,।,রা,অপেক্ষাকৃত,প্রকৃতির হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,আমাদের দেশের প্রেক্ষাপটে,প্রকৃতির মানুষ অনেক বেশি। তার উপর,দের মধ্যে এ স্বভাব বেশি দেখা যায় বলে তারা অন্যের কোন কাজে আসে না।,"ছেলেবেলা থেকে শুনে এসেছে কলকাতার মানুষদের মনে দয়ামায়া কম, কেউ কারো কথা ভাবে না, স্বার্থপর হয়ে যায় সবাই।",প্রকৃতির হয় ,রা ।
