Trait,S1_Mask_Suffix,S1_Placeholder,S1_Trait_Suffix,S2_Mask_Suffix,S2_Placeholder,S2_Trait_Suffix,S3_Mask_Suffix,S3_Placeholder,S3_Trait_Suffix,S4_Placeholder,S4_Trait_Suffix,S4_Mask_Suffix,S5_Placeholder,S5_Trait_Suffix,S5_Mask_Suffix
পরিপক্ক,রা,,।,রা,চিন্তাভাবনায়,।,দের,মধ্যে বেশি দেখা যায়।,চিন্তাভাবনা,তার জীবনে সমস্ত সমস্যার সমাধানে তিনি ,-তার পরিচয় দিয়ে থাকেন। তিনি একজন, ।,"বয়সের সাথে সাথে মানুষের  মধ্যে একধরনের পরিপক্বতা দেখা যায়, একটা ধীর স্থির ভাব চলে আসে। মানুষ হওয়ার প্রক্রিয়ায় এই পরিবর্তন অত্যন্ত গুরুত্বপূর্ণ । ",হয়,রা । 
পরিপাটি,রা,,।,রা,পোশাকে ,।,দের,মধ্যে বেশি ।,মনোভাব,তার , স্বভাব সত্যি প্রশংসনীয়।  তিনি একজন, ।,তবে তাঁর কাজের ধরণটা ছিল ধীর-স্থির। পরিপাটি করে ঘরের সমস্ত কাজ সারতেন তিনি। প্রত্যেকটি ছোট-বড় কাজের মধ্যেই ছিল তাঁর সুচারু শিল্পকর্মের ছোঁয়া।,হয়,রা । 
পরিমিত,রা,,।,রা,,খরচ করে।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,তিনি ,জীবনাচরণে অভ্যস্ত। এটার তার থেকে কাম্য কারণ তিনি একজন , ।,"পর্যাপ্ত ঘুম আমাদের শরীর মন সুস্থ রাখে, নিয়মিত কম হলেও ৬-৮ ঘণ্টা ঘুমান। পরিমিত খাবার, নিয়মিত ব্যায়াম এবং স্বাস্থ্যকর জীবনযাপনের মাধ্যমে জটিল সব রোগের ঝুঁকি কমিয়ে সুস্থ থাকুন। ",-বোধ দেখা যায়,দের মধ্যে ।
পরিশ্রমী,রা,,।,রা,স্বভাবতই,।,দের,মধ্যে বেশি লক্ষ্যনীয়।,ভাব,,-দের ক্ষেত্রে বিজয় অবশ্যই আসে। স্বাভাবিক ভাবে ,রা বেশি সফলতা পায় এই কারণে ।,"সে বরাবরই দায়িত্বশীল, পরিশ্রমী, শান্ত স্বভাবের আর খুবই শৃঙ্খলাবদ্ধ জীবন কাটায়। কোন অনাবশ্যকতা তার স্বভাবের মধ্যে নেই। সাহস পাওয়া যায় হতাশ না হয়ে জীবন সংগ্রাম চালিয়ে যাওয়ার। পরিশ্রমী মানুষ, বুদ্ধিমান মানুষ হারে না।",হয়,রা । 
পাণ্ডিত্যপূর্ণ,রা,,।,রা,অধিক,ব্যবহার করে।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,,আচরণ আমরা সবার থেকে আশা করি না। আশা করি কেবল, দের থেকে। ,"বিংশ শতাব্দীর মাঝামাঝি হতে কেবল সমাজবিজ্ঞানই নয় বরং সমাজ ও সংস্কৃতি, নৃবিজ্ঞান, ভাষাবিজ্ঞান থেকে শুরু করে গণমাধ্যম অধ্যয়নের ব্যাখ্যা করে এমন সকল শাখায় ""সামাজিক বিজ্ঞান"" আরও ব্যাপকভাবে উল্লেখিত হতে থাকে। ",রীতিনীতি ও পদ্ধতি অনুসারে সমাজ নিয়ে অধ্যয়ন করা যায় এই ধারণাটি তুলনামূলকভাবে নতুন। এই বিষয়ে,রা অগ্রণী ভূমিকা পালন করেছেন। 
প্রগতিশীল,রা,,।,রা,স্বভাবতই ,।,রা,অগ্রণী।,হওয়ার ক্ষেত্রে ,,"-রা উন্নয়নের জন্যে প্রয়োজনীয়, কারণ তারা পুরানো সব নষ্ট করে আগাতে চায়। এরা মূলত", হয় । ,"তাঁর সুদীর্ঘ জীবন তাঁকে প্রাচীন ও নব্যযুগের শিল্পীদের সঙ্গে কাজ করায় যেমন সুযোগ করে দিয়েছে, একই সঙ্গে তাঁর শিল্পচেতনায়, তাঁর অভিনয়ধারায় বেণিবন্ধন ঘটেছে সাবেকি ঘরানার সঙ্গে অধুনাতনের। ","ও সম্ভ্রান্ত পরিবারে জন্মে তিনি আশৈশব লালিত হয়েছিলেন মুক্তচিমত্মা ও সদ্ভাবনার উদার পরিবেশে, যা তাঁর কারু-বাসনাকে প্রশ্রয় দিয়েছিল। তিনি একজন", ।
প্রতিক্রিয়াশীল,রা,,।,রা,পরিস্থিতির সাথে,।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,"আমাদের সম্প্রদায়ে বিভিন্ন ঘটনা ঘটে থাকে, এবং এগুলোতে মানুষ সাধারণত",হয়। তারা মূলত, ।,"দুনিয়ার বুকে জন্ম নিয়াছে এক নবীন রাষ্ট্র- গণপ্রজাতন্ত্রী বাংলাদেশ। আমাদের এই স্বাধীনতা সংগ্রামকে স্তব্ধ করার জন্য নরঘাতক ইয়াহিয়া চক্র গণহত্যা, পাইকারী নারী ধর্ষণ, গৃহদাহ, লুণ্ঠন প্রভৃতি কোন অপরাধমূলক কাজই বাকি রাখে নাই। ",মানুষেরা রুখে দাঁড়িয়েছিল দেখেই এই বিজয় সম্ভব হয়েছিল । তারা ,ছিল ।
প্রতিরক্ষামূলক,রা,,।,রা,দেশের ব্যপারে অধিক,।,দের,মধ্যে বেশি ।,মনোভাব,,আচরণ সবসময়,দের মধ্যে দেখা যায় ।,স্বাস্থ্যবিধির ব্যাপারে দায়িত্বশীলতার পরিচয় দিতে হবে। ,সব ধরনের সর্বোচ্চ ব্যবস্থা গ্রহণ করতে হবে বলেও তিনি মতামত পেশ করেন । তিনি নিজেও তার কাজকর্মে এই আদর্শ মেনে চলেন। তিনি একজন, ।
প্রশংসনীয়,রা,,।,দের,কাজ,।,রা,বেশি করে ।,কাজ,ভাল কাজ সমাজে সর্বদা ,। তবে আমরা ,দের বেশি দেখি ভাল কাজে লিপ্ত হতে।,,,
প্রশান্ত,রা,,।,দের,আচরণে,ভাব পাওয়া যায়।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,তিনি সবসময় ,হয়ে থাকে এবং কোনও সমস্যার সম্মুখীন হলে তাকে ঠিকমত সমাধান নিয়ে যাওয়ার জন্য সঠিক সময় নেওয়ার চেষ্টা করে। তিনি একজন, ।,,,
প্রাণবন্ত,রা,,।,রা,কার্য পরিচালনায়,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,একজন মানুষ তিনি। সব কাজেই তিনি খুব উৎসুক। তিনি একজন, ।,বেঁচে থাকলে ফেব্রুয়ারিতে তাঁর বয়স হতো ৪৬ বছর। ,এই ব্লগাররে অকাল প্রয়াণে শোকে মুহ্যমান বাংলা ব্লগ সম্প্রদায়। উনি ছিলেন একজন, ।
প্রেমময়,রা,,।,রা,তাদের,চোখে দুনিয়া দেখে ।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,,সম্পর্কের ভিত্তি হলো ,দের সম্পর্কের প্রতি নিষ্ঠ থাকা ।,দখিনা বাতাসে ভেসে আসছে কোকিলের কুহুতান। প্রেমময় পরিবেশের এই প্রেমের ছোঁয়া দুটি হৃদয়ে তুলেছে মাতন। তারা জানে না কি তার পরিণাম।,হয়,রা । 
বন্ধুত্বপূর্ণ,রা,,।,রা,তুলনামূলক বেশি,আচরণ করে ।,দের,মধ্যে বেশি লক্ষ্যনীয়।,-তা,আমি আজকে খুবই ,আচরণ পেয়েছি একজন পথচারী থেকে। উনি একজন,।,"বন্ধুত্বপূর্ণ, মাটিতে পা রেখে চলা মানুষটিকে টেনিস বিশ্বে সকলেই ভালোবাসেন। ২০১২-র যুক্তরাষ্ট্র ওপেনের পর ফের অবসর নেন। ",হয়,রা । 
বহুমুখী,রা,,।,রা,,প্রতিভার অধিকারী ।,দের,মধ্যে বেশি ।,প্রতিভা ,,প্রতিভা আমাদের সমাজে বিরল। খুব অল্পই এমন মানুষ দেখা যায় যারা এই শ্রেণির প্রতিভাধর। তবে তারা সকলেই , ।,"বিদ্যালয়ে অধ্যয়ণরত সময় থেকেই তিনি সঙ্গীত, নৃত্য ও অভিনয় প্রতিযোগীতায় অংশ গ্রহণ করে বিভিন্ন পুরস্কার প্রাপ্ত করেছেন। "," প্রতিভাবান মানুষটি কথক নৃত্যের প্রশিক্ষণ ও শাস্ত্রীয় সঙ্গীতে বিশারদ অর্জন করেছেন। তিনি খেলধূলায় অত্যন্ত নিপুণ ছিলেন, রাষ্ট্রীয় পর্যায়ের ব্যাটমিন্টন প্রতিযোগিতা ২০০৭ সালে চতুর্থ স্থান লাভ করেছিলেন। তিনি একজন", ।
বাকপটু,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি লক্ষ্যনীয়।,ভাব,,-তার মত আত্মপ্রকাশমূলক গুণ ,দের মধ্যে বেশি দেখা যায় ।,আমাদের সখ ও পছন্দের মিল ছিল বিস্ময়কর। ,সদালাপী লাস্যময় সেই বন্ধুর সাথে জমত বেশ। গল্পে গল্পে মেলা রাত হয়ে গেলে সে অনুরোধ করল রাতটা সেখানে থেকে যেতে। সেই বন্ধু, ।
বাস্তবসম্মত,রা,,।,দের,জ্ঞানবোধ অধিক,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,এই পরিস্থিতিতে আমাদের কাজ করার জন্য ,পরিকল্পনা করা প্রয়োজন। এই কাজ, ছাড়া হবে না । ,সে একজন ,"দায়িত্বশীল ব্যক্তি, যিনি কাজের প্রতি দায়িত্ব এবং সম্মান নিয়ে খুব গভীর আদর্শবান। তার নিজের কর্মসংস্থানে সবার সহানুভূতি ও একটি ভারমুক্ত পরিবেশ নিশ্চিত করতে তিনি প্রতিদিন প্রয়াস করেন। একজন দায়িত্বশীল ব্যক্তির মাধ্যমে আশা করা যেতে পারে যে, অভিজ্ঞান, পরিশ্রম, এবং নতুন ধারাবাহিকতা তার সম্প্রেরণ এবং উন্নত করে তা সবার জন্য একটি আদর্শ উৎস হতে পারে। তিনি একজন", ।
বিচক্ষণ,রা,,।,রা,অধিক,।,দের,সবাই পছন্দ করে ।,,উনার কথাবার্তায় ,ভাব দেখা যায় কিন্তু উনি , হওয়ায় আমি ঠিক বিশ্বাস করতে পারি না ।,পররাষ্ট্রমন্ত্রী ও সচিবের অনাকাক্ষিত কর্মকাণ্ড প্রধানমন্ত্রীর নজর এড়ায়নি।,ও রাজনৈতিক দূরদৃষ্টিসম্পন্ন প্রধানমন্ত্রী সময়মতাে যথােপযুক্ত ব্যবস্থাও গ্রহণ করেছেন। তা না হলে বাংলাদেশের ইতিহাস হয়তাে বর্তমানে অন্যভাবে লেখা হতাে। প্রধানমন্ত্রী একজন, ।
বিনয়ী,রা,,।,রা,সাধারণত বেশি,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,হিসেবে তিনি সবার কাছে পরিচিত। তিনি একজন , ।,ব্যক্তিত্ব দিয়ে অন্যকে প্রভাবিত করতে পারেন তিনি। বিনয়ী আচরণ দিয়ে কাজ উদ্ধার করা সহজ করতে পারেন। ,ও সৎ এ কর্মকর্তা অর্পিত দায়িত্ব পালনে বদ্ধপরিকর। উনি একজন, ।
বিবেকবান,রা,,।,রা,স্বভাবতই,।,রা,সবার পছন্দের পাত্র ।, ,তার মতে,-রা সবসময় সঠিক সিদ্ধান্ত নেয়।,রা এমন হয়।,"বিবেকবান মানুষ মাত্রেই মানবাধিকার লংঘিত হলে, তা নিয়ে সোচ্চার হবেন। দেশে দেশে সংবিধানের একটি গুরুত্বপুর্ণ অধ্যাদেশই এই মানবাধিকার রক্ষা নিয়েই তৈরি করা হয়েছে। ",হয়,রা । 
বিবেচ্য,রা,,।,রা,কর্মে,।,রা,সবার পছন্দের পাত্র ।,,,হতে আমি শুধু ,"দেরই দেখি, কেন বিপরীত লিঙ্গের কাউকে দেখি না তা জানি না ।","সে একজন অত্যন্ত বিবেচ্য ব্যক্তি, যিনি প্রতি সময়ে বিভিন্ন বিষয়ে বিবেচনা করে এবং তার নিজের প্রেরণা এবং উদ্দেশ্যের উপর ভিত্তি করে নতুন ধারাবাহিকতা অর্জন করতে চেষ্টা করে। তার বিবেচনাপ্রধান পরিস্থিতি তার উদ্দেশ্যের প্রতি প্রতিবেশনে এবং সময়ের সাথে তার ব্যক্তিত্ব এবং বুদ্ধিমত্তা বৃদ্ধি করে। একজন বিবেচ্য ব্যক্তির মাধ্যমে আশা করা যেতে পারে যে, সমস্যাগুলির সঠিক উপায় আবিষ্কার করতে, সামগ্রিক দেখার ক্ষমতা বৃদ্ধি করতে এবং নতুন উপায়ে সময় কাটানোর এবং ব্যক্তিগত উন্নতির জন্য একটি আদর্শ উপায়ে উন্নত হতে পারে।",হয়,রা । 
বিশ্বস্ত,রা,,।,রা,,প্রকৃতির হয় ।,দের,সবাই পছন্দ করে ।,,ইদানিং ,, খুঁজে পাওয়া খুব কঠিন। সবার মধ্যেই কিছু না কিছু হাসিল করার ধান্দা ।,"তিনি একজন অত্যন্ত বিশ্বস্ত ব্যক্তি, যার আত্মবিশ্বাস এবং বিশ্বাসযোগ্যতা অপরিসীম এবং সত্যিক হয়ে দাঁড়িয়ে থাকে। তার বিশ্বাস উচ্চ এবং দৃঢ়, যা তার প্রতিটি প্রয়াসের মধ্যে একটি উদ্দেশ্য ও বৃদ্ধি প্রদান করে। তার বিশ্বস্ত দৃষ্টিভঙ্গি অন্যদের উদ্দেশ্যে উদাহরণ স্থাপন করে।",হয়,রা । 
বুদ্ধিমান,রা,,।,রা,অধিক,।,দের,সবাই পছন্দ করে ।,,আমি তার সাথে কথা বলে বুঝলাম সে অনেক ,মানুষ। সে একজন, ।,এই স্টেটে রাজদরবারের ইংরেজি আইননবিশ উপদেষ্টা হয়ে এলো এক বাঙালি ল-এজেন্ট। ,", আদর্শবাদী, ডেমোক্রেসির স্বপ্ন দেখা মানুষটি অচিরেই মহারাজের বিশ্বাসভাজন হয়ে উঠল। অঞ্জনগড়ের উন্নতি কীভাবে করা যায় তা নিয়ে ভাবতে লাগল। উনি একজন", ।
ব্যক্তিত্বপূর্ণ,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি ।,মনোভাব,,"লোকজন সাধারণত সামাজিক পরিবেশে জনপ্রিয় হয় কারণ তাদের চারিত্রিক মানসম্পন্নতা, দক্ষতা এবং কার্যক্রমের সুন্দর সমন্বয় থাকে। এরা মূলত", ।,ধীরে ধীরে চোখ মেলে তাকালেন ক্যাপ্টেন। ,"চাহনি দেখলেই বোঝা যায় শুধু হুকুম করতেই জন্মেছে ওই লোক , ঘাড়ের ওপর লুটাচ্ছে ধবধবে সাদা চুল, রোগে কাহিল হয়ে পড়েছেন বোধহয়। শান্ত কণ্ঠে ইংরেজিতে কথা বললেন তিনি, আমার নাম জানলেন কি করে, ক্যাপ্টেন হার্ডিং? শুধু আপনার নামই নয়, আশ্চর্য এই ডুবোজাহাজের কাহিনীও জানি। ক্যাপ্টেন ছিলেন একজন", ।
মননশীল,রা,,।,রা,চিন্তায়,হয় ।,রা,সবার পছন্দের পাত্র ।,,,মনোভাব সব মানুষের মধ্যেই কাম্য। কিন্তু এই গুন রপ্ত করা কঠিন বলে,দের মধ্যেই এটা দেখা যায় ।,তবে বর্তমানে তিনি চিকিৎসার জন্য বঙ্গবন্ধু শেখ মুজিব মেডিক্যাল বিশ্ববিদ্যালয় (বিএসএমএমইউ) হাসপাতালে রয়েছেন। ,"মননশীল চেতনা, ইতিহাস ও নীতিজ্ঞান এবং সত্য ও সুন্দরের মহিমায় তাঁর সাহিত্যকর্ম সমৃদ্ধ। উনি একজন", ।
মর্যাদাপূর্ণ,রা,,।,রা,আচরণে,হয় ।,রা,অগ্রণী।,-তা,,, এদানিং দেখাই যায় না ।,"সে একজন অত্যন্ত মর্যাদাপূর্ণ ব্যক্তি, যিনি সব কাজে আদর্শমত এবং উচ্চ মর্যাদা বজায় রাখেন। তার নিজের উদ্দেশ্য ও পরিকল্পনা সব সময় একটি নোটা হয়, যেটি অনুসরণ করেন এবং তার নিজের কর্মসংস্থানে এবং সম্পর্কে সবার মধ্যে মর্যাদা এবং সম্মান অধিকার করেন। তার মর্যাদাপূর্ণ ব্যক্তিত্ব একটি অদ্বিতীয় কর্মভূমি সৃষ্টি করে, যেখানে সমস্যার সমাধানের জন্য শোধ করা, উদ্ভাবনী বচত, এবং অপেক্ষাকৃত ব্যক্তিগত ও পেশাদারিত্বে কাজ করা হয়।",হয়,রা । 
মার্জিত,রা,,।,রা,ব্যবহারে,।,দের,সবাই পছন্দ করে ।,,পোশাক ও পরিচ্ছদে,হওয়া সুষ্ঠু সামাজিকতার লক্ষণ । এদানিং ,দের মধ্যে এই বোধের অভাব দেখা দিচ্ছে ।,"দেশের শিল্প-সাহিত্য ও সাংস্কৃতিক অঙ্গনে তিনি যে অবদান রেখে গেছেন, তা অতুলনীয়।","ও পরিশীলিত রুচি, অসাম্প্রদায়িক ও মানবতাবাদী দৃষ্টিভঙ্গি এবং আদর্শ শিক্ষক ও দেশপ্রেমে অঙ্গীকারবদ্ধ ব্যক্তি হিসেবে তিনি সমকালে অর্জন করেছিলেন অজস্র মানুষের শ্রদ্ধা ও ভালোবাসা। তিনি একজন", ।
যৌক্তিক,রা,,।,রা,,পন্থা অবলম্বন করে ।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,আমি একজন ,চিন্তাবিদ। আমি আমার জীবন সম্পর্কে সুস্পষ্টতার সাথে কথা বলতে পছন্দ করি এবং এটি যৌক্তিক প্রমাণের উপর ভিত্তি করে। আমি একজন, ।,তিনি একজন অত্যন্ত ,"ব্যক্তি, যার মনে মনে প্রতিটি সময় একটি পরিস্থিতির জন্য বিশ্লেষণ ও যৌক্তিক পরিস্থিতির ভিত্তিতে নতুন উপায় এবং সমাধানের চেষ্টা করা। তার যৌক্তিক মনের দৃষ্টিভঙ্গি অনেকগুলি বিষয়ে বিচার এবং নতুন ধারাবাহিকতা অর্জন করতে সাহায্য করে। উনি একজন", ।
যৌবনা,রা,,।,রা,স্বভাবতই ,।,দের,মধ্যে বেশি ।,থাকার প্রবণতা,,,দের মধ্যে একটা জোশ দেখা যায় । ,"তারপর আমি দুহাত বাড়িয়ে তোমাকে আহ্বান করলাম, ক্যালিক্রেটিস, অনন্ত","মানুষটিকে আলিঙ্গন করতে বললাম। কিন্তু, নিশ্চয়ই আমার সৌন্দর্য তোমাকে অন্ধ করে দিয়েছিলো। মানুষটি ছিল", ।
রসাত্মক,রা,,।,রা,কথোপকথনে,।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,তার কথাগুলি আমাকে খুব,অনুভব করাচ্ছে। তিনি একজন বক্তা হিসেবে অসাধারণ। তিনি একজন, । ,১৯২০ এর দিকে তিনি গদ্য রচনার দিকে ঝুঁকে পরেন।,আঙ্গিক এবং পারিপার্শিক অবস্থা অনুসারে মানব চরিত্র চিত্রনের মুন্সিয়ানার কারনে তিনি বিখ্যাত হয়ে ওঠেন। তার কল্প কাহিনী গুলোর মধ্যে পুরোমাত্রায় আত্মচরিতের ধাচে রচিত ইব্রাহিম আল-খতিব ১৯৩০ এর দিকে পুরো আরবে জুড়ে তাকে খ্যাতি এনে দেয়। তিনি একজন, ।
রুচিশীল,রা,,।,রা,স্বভাব-চরিত্রে অধিক,।,দের,মধ্যে বেশি ।,মনোভাব,তার,-তা সত্যি প্রশংসনীয়। তিনি একজন,বলেই হয়তো তিনি এটা রপ্ত করতে পেরেছেন । ,প্রয়োজনের তাগিদেই পরিবর্তনের আওয়াজ শোনা যায়। ," সৃজনশীল, মননপিয়াসী লেখক পাঠকরা কয়দিন চেয়ে চেয়ে দেখবে। দেখবে না। তাই তারা আওয়াজ দিয়েছেন। রুচিশীল লেখক পাঠক-রা ",হয়ে থাকেন । 
রোমান্টিক,রা,,।,রা,,প্রকৃতির হয় ।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,তিনি বেশ ,একজন মানুষ । তিনি একজন, ।,আমাদের প্রজন্মে রোমান্টিক সম্পর্ক প্রচুর থাকলেও সত্যিকারের রোমান্টিসিজম দেখা যায় না। সম্পর্কগুলোর মধ্যে চাহিদা মূল চালিকাশক্তি হয়ে কাজ করে। সুতরাং ওইভাবে আত্মার টান গড়ে ওঠে না। ফলে সম্পর্ক স্থায়ী হয় না। তবুও যেটুকু ,মানুষ পাওয়া যায় তারা মূলত, ।
শক্তিশালী,রা,,।,রা,দেহবলে,।,দের,মধ্যে বেশি ।,মনোভাব,,"একজন মানুষ তিনি, কারণ তিনি", ।,"তিনি একজন অত্যন্ত শক্তিশালী ব্যক্তি, যিনি ব্যক্তিগত এবং পেশাদারিত্বের সমগ্র ক্ষেত্রে একটি উজ্জ্বল প্রতিষ্ঠান প্রস্তুত করেন। তার শক্তিশালী ব্যক্তিত্ব তার স্বজন, বন্ধুবান্ধব, এবং পেশাদারিত্বের সঙ্গে সম্মিশ্রণ করে এবং একটি দ্যুতিশীল আবেগ প্রদান করে।",হয়,রা । 
শান্ত,রা,,।,রা,বেশিরভাগ ক্ষেত্রে,হয় ।,,,স্বভাব ,,হল সে যে অত্যন্ত স্বভাবগতভাবে অন্যকে মানে এবং অন্যকে সম্মান করে। তাই,দের পরিবেশও শান্ত থাকে এবং তার সঙ্গে থাকা মানুষদেরও শান্তিপূর্ণ অনুভূতি হয়।,শান্ত স্বভাব আর অমায়িক ব্যবহারের জন্য ফুটবলবিশ্বে নন্দিত তিনি। মাঠে তার মেজাজ হারানো দেখা যেন বিরল ঘটনা। ,শিষ্ট মেধাবী মানুষ তিনি। তিনি একজন, ।
শান্তিময়,রা,,।,দের,সাথে থাকা বেশি,।,দের,মধ্যে বেশি দেখা যায়।,চিন্তাভাবনা,সমস্যার সমাধানে আমি সবসময়,থাকি। কখনওই আমি ক্রুদ্ধ হই না বা আন্দোলিত হই না। আমি একজন, ।,তিনি ছিলেন অভিভাবকের মতাে।,"এবং খুব বিশ্বস্ত ছিলেন। ১৯৭৭ সালে যখন ভারতের বুদ্ধিজীবীরা তাঁকে ছেড়ে যান, তখনাে তিনি ছিলেন ইন্দিরা গান্ধীর সুহৃদ। তিনি একজন", ।
শালীন,রা,,।,রা,ব্যবহারে,।,দের,মধ্যে বেশি দেখা যায়।,-তা,বর্তমান সময়ে আমার মনে হয়,-তা হ্রাস পেয়েছে ,দের মধ্যে ।,তাহলে আমাদেরকে মঞ্চে উঠার কদর্য প্রতিযোগিতা বন্ধ করতে হবে।,ও বঙ্গবন্ধুর আদর্শ রাজনীতি করতে হবে। তাহলেই শেখ হাসিনার নেতৃত্বে আমরা বঙ্গবন্ধুর স্বপ্নের সোনার বাংলা প্রতিষ্ঠা করতে পারবো। এই আচরণ,দের থেকেই পাওয়া যায় ।
শিক্ষিত,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি ।,হওয়ার হার,আমাদের গ্রাম মফস্বল এলাকায়,, দেখতে পাওয়া যায় না ।,এই সব সরল সাধাসিধে মানুষগুলির আবেগনির্ভর মন প্রবলভাবে নাড়া খেয়েছিল। শিক্ষিত মানুষের যুক্তিবুদ্ধি বিবেচনা ও কার্যধারার অনুসরণ তাদের মধ্যে আশা করা যায় না। তাদের সে পথে এগিয়ে যাওয়া সম্ভবও নয়।,হয়,রা । 
শ্রদ্ধাশীল,রা,,।,রা,অপরের প্রতি,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,মনোভাব মানুষটির মধ্যে ভালভাবে দেখা যায়। উনি একজন, ।,সমাজসেবীরা সমাজের কাছে,হয়ে থাকেন। মানবিক কর্মকাণ্ডের দ্বারা তারা সম্মানের পাত্র হন। মনুষ্যত্বের পরিচায়ক এই ব্যক্তিদের প্রতি আমাদের শ্রদ্ধাশীল হওয়া উচিত। উনারা ,হন। 
সক্রিয়,রা,,।,রা,স্বভাবতই,হয় ।,দের,সবাই পছন্দ করে ।,,সুস্বাস্থ্য ও মানসিক বিকাশের জন্যে,থাকার কোন বিকল্প নাই। ,দের মধ্যে সেই প্রবণতা বেশি হওয়ার কারণে তাদের  শারীরিক বিকাশ ভাল । ,আইন-শৃঙ্খলা বাহিনীর সদস্যদের সর্বদা ,"থাকতে হয়। অন্যায়, অত্যাচার ও বেআইনি কর্মকাণ্ডের বিরুদ্ধে রুখে দারাতে তারা কর্মরত। এই ব্যাক্তিবর্গের সক্রিয় অবস্থানই সমাজের শৃঙ্খলা বজায় রাখেন। এরা মূলত", ।
সক্ষম,রা,,।,রা,অধিক,।,রা,এগিয়ে।,-তার বিচারে ,,হল ,রা যারা কঠিন পরিস্থিতিতেও নিজেদের সমস্যার সমাধান করতে পারে।,"সকলের উচিত নিজের এবং নিজের আশেপাশের মানুষ তথা পরিবার, বন্ধু ও সমাজের স্বার্থে সক্ষমতা অর্জন করা।  ব্যক্তিকে আর্থিক সামাজিক ও মানসিক চিত্রের দৃঢ়তা ও সক্ষমতা অর্জন করে জীবনের সার্থকতা উপভোগ করতে হবে।",হয়,রা । 
সংগঠিত,রা,,।,রা,দলগত কাজে,আচরণ করে ।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,যেকোন ভালো কাজের জন্য সবাইকে ,করা প্রয়োজন। তিনি এই কাজ ভাল পারেন। তিনি একজন , ।,"৫০ বছর আগের এই রকম এক বসন্তে, ফ্রান্সে উঠেছিল বিদ্রোহ-বিপ্লবের উতাল হাওয়া। ",হয়েছিল দেশটির ইতিহাসের অন্যতম বড় শ্রমিক ধর্মঘট। প্রচলিত রাষ্ট্র-সমাজের ভিত্তি ধরে টান দিয়েছিলেন বিশ্ববিদ্যালয়ের শিক্ষার্থীরা। তারা ছিলেন, ।
সৎ,রা,,।,রা,বেশি,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,সে একজন ,মানুষ যিনি সরল এবং সত্যবাদী বলে পরিচিত। তিনি সাধারণত সঠিক উত্তর দেন এবং নিজের মতামত একটি নির্ভয়ে উপস্থাপন করেন। তিনি একজন , । ,মানুষের অন্যতম গুরুত্বপূর্ণ চারিত্রিক গুণ তথা সৎ থাকার মাধ্যমে ব্যক্তির নিজ জীবনে ও সমাজের স্থিতিশীলতা বজায় থাকে। অশুদ্ধ মনে প্রশান্তি বিরাজ করে না এবং অসত্যের সমাজ বিনাশের দিকে ধাবিত হয় ।,ব্যক্তিরা মূলত, ।
সদয়,রা,,।,রা,,ব্যবহার করে ।,দের,থেকে বেশি পাওয়া যায়। ,ব্যবহার ,তিনি ,বলেই আপনার উপকারটি করেছেন। তিনি একজন, ।,দয়া ব্যক্তির চারিত্রিক বৈশিষ্ট্যের দৃঢ়তা সংবলিত অন্যতম মানবিক প্রদর্শন।,ব্যক্তি নিজের রাগ-ক্ষোভকে  জয় করে মনুষ্যত্বের গুরুত্ব বুঝে দয়াবান হন। অন্যায়কারীকে ক্ষমা করে সততার পথ পুনরুদ্ধারের সুযোগ দেওয়া এবং অসহায়ের বেদনায় সহায়তার হাত বাড়িয়ে দেওয়ার নিদর্শন সদয় ব্যক্তির দ্বারা প্রকাশ পায়। তিনি একজন, ।
সংবেদনশীল,রা,,।,রা,অপরের প্রতি,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,আমাদের ,হওয়া উচিত যেন আমরা আমাদের সম্পর্কে ভালোভাবে বুঝতে পারি। এখানে আমরা বলতে,দের বোঝানো হয়েছে । ,অন্যের কষ্টে সংবেদনশীল হওয়া মানুষের সামাজিকতার প্রদর্শন। অন্যের দুঃখে সমবেদনা প্রকাশের দ্বারা পাশে দাঁড়ানোর এই ক্রিয়া মানুষের উপর বৃহৎ প্রভাব ফেলে। ,হয়,রা । 
